Year,State,Ethnicity,Grade,Enrollment,Dropout
2002,texas,White,10,132490,2711
2002,utah,White,10,31069,512
2002,vermont,White,10,0,0
2002,virginia,White,10,56524,1112
2002,washington,White,10,60883,2635
2002,west virginia,White,10,20123,837
2002,wisconsin,White,10,60405,222
2002,wyoming,White,10,6416,201
2002,american samoa,White,10,0,0
2002,guam,White,10,0,0
2002,northern marianas,White,10,0,0
2002,puerto rico,White,10,0,0
2002,virgin islands,White,10,0,0
2002,alabama,Hispanic,10,657,36
2002,alaska,Hispanic,10,343,28
2002,arizona,Hispanic,10,22334,2653
2002,arkansas,Hispanic,10,1386,95
2002,california,Hispanic,10,196240,7606
2002,colorado,Hispanic,10,11184,756
2002,connecticut,Hispanic,10,5400,302
2002,delaware,Hispanic,10,465,47
2002,district of columbia,Hispanic,10,0,0
2002,florida,Hispanic,10,36313,1265
2002,georgia,Hispanic,10,4709,454
2002,hawaii,Hispanic,10,638,32
2002,idaho,Hispanic,10,1614,164
2002,illinois,Hispanic,10,21317,1868
2002,indiana,Hispanic,10,2591,110
2002,iowa,Hispanic,10,1380,84
2002,kansas,Hispanic,10,3231,170
2002,kentucky,Hispanic,10,487,19
2002,louisiana,Hispanic,10,774,59
2002,maine,Hispanic,10,91,4
2002,maryland,Hispanic,10,3281,147
2002,massachusetts,Hispanic,10,7235,574
2002,michigan,Hispanic,10,4362,289
2002,minnesota,Hispanic,10,2138,283
2002,mississippi,Hispanic,10,235,18
2002,missouri,Hispanic,10,1258,62
2002,montana,Hispanic,10,222,17
2002,nebraska,Hispanic,10,1546,140
2002,nevada,Hispanic,10,6497,538
2002,new hampshire,Hispanic,10,318,21
2002,new jersey,Hispanic,10,15993,702
2002,new mexico,Hispanic,10,12775,722
2002,new york,Hispanic,10,42183,4301
2002,north carolina,Hispanic,10,3966,399
2002,north dakota,Hispanic,10,89,4
2002,ohio,Hispanic,10,2228,138
2002,oklahoma,Hispanic,10,2587,236
2002,oregon,Hispanic,10,4224,0
2002,pennsylvania,Hispanic,10,6821,0
2002,rhode island,Hispanic,10,1611,152
2002,south carolina,Hispanic,10,924,40
2002,south dakota,Hispanic,10,142,11
2002,tennessee,Hispanic,10,0,0
2002,texas,Hispanic,10,114260,6464
2002,utah,Hispanic,10,3201,200
2002,vermont,Hispanic,10,0,0
2002,virginia,Hispanic,10,4790,303
2002,washington,Hispanic,10,7566,808
2002,west virginia,Hispanic,10,72,3
2002,wisconsin,Hispanic,10,3052,149
2002,wyoming,Hispanic,10,519,40
2002,american samoa,Hispanic,10,0,0
2002,guam,Hispanic,10,0,0
2002,northern marianas,Hispanic,10,0,0
2002,puerto rico,Hispanic,10,0,0
2002,virgin islands,Hispanic,10,0,0
2002,alabama,Black,11,16022,659
2002,alaska,Black,11,409,40
2002,arizona,Black,11,2945,305
2002,arkansas,Black,11,6875,471
2002,california,Black,11,35133,1984
2002,colorado,Black,11,2641,119
2002,connecticut,Black,11,4654,156
2002,delaware,Black,11,2059,124
2002,district of columbia,Black,11,0,0
2002,florida,Black,11,35681,1329
2002,georgia,Black,11,33483,2061
2002,hawaii,Black,11,220,11
2002,idaho,Black,11,84,5
2002,illinois,Black,11,22991,2374
2002,indiana,Black,11,6715,251
2002,iowa,Black,11,1136,77
2002,kansas,Black,11,2787,130
2002,kentucky,Black,11,4007,171
2002,louisiana,Black,11,18323,1589
2002,maine,Black,11,211,10
2002,maryland,Black,11,20044,999
2002,massachusetts,Black,11,5552,291
2002,michigan,Black,11,17714,1466
2002,minnesota,Black,11,4387,472
2002,mississippi,Black,11,14092,605
2002,missouri,Black,11,8853,549
2002,montana,Black,11,43,1
2002,nebraska,Black,11,1142,101
2002,nevada,Black,11,1949,170
2002,new hampshire,Black,11,160,10
